iter	RMSE
0	2.267680569
1	2.167266736
2	2.128368077
3	2.107337527
4	2.096530833
5	2.08777199
6	2.082779232
7	2.077939215
8	2.074774607
9	2.073878965
10	2.070814975
11	2.06121339
12	2.057373921
13	2.053107126
14	2.049716857
15	2.04614345
16	2.043497073
17	2.041775736
18	2.039623319
19	2.036430575
20	2.034154674
21	2.031667125
22	2.028702138
23	2.026765631
24	2.025261852
25	2.022767113
26	2.02184809
27	2.019369495
28	2.016007354
29	2.013762192
30	2.010733658
31	2.009055553
32	2.00716676
33	2.001929425
34	2.000155128
35	1.998228974
36	1.995732255
37	1.993831177
38	1.990107428
39	1.988095323
40	1.983709187
41	1.982215805
42	1.981677581
43	1.979714143
44	1.977441866
45	1.975942941
46	1.97284081
47	1.971359159
48	1.970151062
49	1.96854365
50	1.966502054
51	1.964140379
52	1.962713139
53	1.961149368
54	1.960548915
55	1.958578007
56	1.957842038
57	1.955361685
58	1.954536589
59	1.953770177
60	1.950434347
61	1.948925061
62	1.947093825
63	1.945872824
64	1.943698012
65	1.942823793
66	1.941210911
67	1.940482409
68	1.938790503
69	1.937989998
70	1.937082606
71	1.935821726
72	1.934793983
73	1.934462375
74	1.93243694
75	1.931603267
76	1.929826913
77	1.929116924
78	1.926072887
79	1.925023555
80	1.922223105
81	1.920915457
82	1.916648663
83	1.914450849
84	1.912408958
85	1.91040822
86	1.908724649
87	1.907561482
88	1.904767081
89	1.904189262
90	1.902836668
91	1.902316814
92	1.901287188
93	1.900396097
94	1.898872277
95	1.897749075
96	1.896440346
97	1.89569615
98	1.894929392
99	1.894404718
