iter	Passed	Remaining
0	31	3155
1	58	2850
2	81	2650
3	105	2527
4	130	2484
5	158	2476
6	187	2490
7	214	2469
8	241	2438
9	265	2390
10	291	2359
11	323	2375
12	352	2360
13	376	2315
14	403	2288
15	432	2271
16	462	2257
17	489	2230
18	516	2200
19	540	2160
20	564	2122
21	591	2097
22	619	2075
23	650	2059
24	678	2034
25	706	2010
26	729	1971
27	753	1938
28	781	1912
29	812	1896
30	839	1868
31	866	1840
32	890	1808
33	920	1786
34	948	1762
35	980	1742
36	1008	1716
37	1041	1699
38	1069	1672
39	1092	1638
40	1118	1609
41	1145	1581
42	1169	1549
43	1200	1528
44	1231	1505
45	1257	1476
46	1296	1462
47	1362	1476
48	1394	1451
49	1426	1426
50	1455	1398
51	1490	1375
52	1519	1347
53	1542	1313
54	1565	1281
55	1591	1250
56	1616	1219
57	1647	1192
58	1674	1163
59	1700	1133
60	1729	1105
61	1756	1076
62	1784	1048
63	1813	1020
64	1839	990
65	1870	963
66	1893	932
67	1915	901
68	1945	873
69	1973	845
70	1997	816
71	2026	788
72	2055	760
73	2079	730
74	2105	701
75	2129	672
76	2156	644
77	2184	616
78	2212	588
79	2239	559
80	2265	531
81	2293	503
82	2323	475
83	2353	448
84	2381	420
85	2411	392
86	2443	365
87	2472	337
88	2501	309
89	2530	281
90	2554	252
91	2579	224
92	2609	196
93	2637	168
94	2665	140
95	2694	112
96	2725	84
97	2752	56
98	2779	28
99	2807	0
